ID,Region,City,Address,MinPricePerSqMeter,AvgPricePerSqMeter,MaxPricePerSqMeter,OffersCount,TotalFloors,YaLowerCorner,YaUpperCorner,WktPoint,Lat,Lon,OnDate,Source
142868,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 24/7",132000,132000,132000,1,14,"37.858483 55.746512","37.866693 55.751143","POINT(37.862588 55.748827)","55.748827","37.862588","2016-09-01 00:00:00","myData.biz"
142869,"Московская область","Реутов","Московская область, Реутов, улица Дзержинского, 2",128000,129000,129000,2,12,"37.844864 55.749035","37.853075 55.753666","POINT(37.848969 55.751351)","55.751351","37.848969","2016-10-01 00:00:00","myData.biz"
159205,"Московская область","Реутов","Московская область, Реутов, улица Строителей, 11",136000,136000,136000,1,9,"37.843049 55.758757","37.85126 55.763386","POINT(37.847155 55.761072)","55.761072","37.847155","2016-10-01 00:00:00","myData.biz"
161763,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 7",112000,112000,112000,1,5,"37.847272 55.752703","37.855482 55.757333","POINT(37.851377 55.755018)","55.755018","37.851377","2016-10-01 00:00:00","myData.biz"
161764,"Московская область","Реутов","Московская область, Реутов, улица Победы, 17",121000,123000,125000,3,9,"37.848062 55.761077","37.856273 55.765706","POINT(37.852167 55.763391)","55.763391","37.852167","2016-10-01 00:00:00","myData.biz"
161765,"Московская область","Реутов","Московская область, Реутов, улица Победы, 19",127000,127000,127000,2,9,"37.847514 55.761771","37.855725 55.7664","POINT(37.851619 55.764085)","55.764085","37.851619","2016-10-01 00:00:00","myData.biz"
165035,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 31",133000,139000,145000,2,25,"37.864681 55.749516","37.872892 55.754147","POINT(37.868786 55.751832)","55.751832","37.868786","2016-11-01 00:00:00","myData.biz"
158401,"Московская область","Реутов","Московская область, Реутов, улица Строителей, 3",98000,98000,98000,1,9,"37.845574 55.760606","37.853784 55.765235","POINT(37.849679 55.76292)","55.76292","37.849679","2016-10-01 00:00:00","myData.biz"
144126,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 9",134000,134000,134000,3,9,"37.849562 55.745772","37.857773 55.750403","POINT(37.853668 55.748088)","55.748088","37.853668","2016-10-01 00:00:00","myData.biz"
142655,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 47",91000,107000,129000,16,25,"37.872299 55.750246","37.880509 55.754877","POINT(37.876404 55.752561)","55.752561","37.876404","2016-10-01 00:00:00","myData.biz"
142656,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 78",115000,149000,179000,29,19,"37.882845 55.751396","37.891055 55.756027","POINT(37.88695 55.753711)","55.753711","37.88695","2016-10-01 00:00:00","myData.biz"
142657,"Московская область","Реутов","Московская область, Реутов, улица Победы, 22",106000,132000,186000,5,12,"37.844972 55.764642","37.853182 55.769271","POINT(37.849077 55.766957)","55.766957","37.849077","2016-10-01 00:00:00","myData.biz"
142658,"Московская область","Реутов","Московская область, Реутов, улица Некрасова, 18",59000,96000,113000,4,9,"37.845709 55.76999","37.853919 55.774619","POINT(37.849814 55.772305)","55.772305","37.849814","2016-10-01 00:00:00","myData.biz"
142659,"Московская область","Реутов","Московская область, Реутов, Советская улица, 22к1",106000,122000,150000,5,17,"37.856345 55.764359","37.864555 55.768988","POINT(37.86045 55.766673)","55.766673","37.86045","2016-10-01 00:00:00","myData.biz"
142660,"Московская область","Реутов","Московская область, Реутов, улица Кирова, 7к1",110000,125000,139000,4,19,"37.846822 55.757278","37.855033 55.761907","POINT(37.850928 55.759593)","55.759593","37.850928","2016-10-01 00:00:00","myData.biz"
142661,"Московская область","Реутов","Московская область, Реутов, улица Победы, 22к2",112000,112000,112000,1,17,"37.84596 55.765681","37.854171 55.770309","POINT(37.850065 55.767995)","55.767995","37.850065","2016-10-01 00:00:00","myData.biz"
142662,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 18",93000,93000,93000,1,5,"37.860504 55.761512","37.868714 55.766142","POINT(37.864609 55.763827)","55.763827","37.864609","2016-10-01 00:00:00","myData.biz"
142663,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 55",110000,122000,148000,6,25,"37.876808 55.751123","37.885019 55.755753","POINT(37.880913 55.753438)","55.753438","37.880913","2016-10-01 00:00:00","myData.biz"
